"","X","university","r_status","state","npt4_pub","npt4_priv","costt4_a","grad_debt_mdn","avgfacsal","unemp_rate","year"
"900",900,"University of Maryland Eastern Shore","R2","MD",16069,NA,21739,27868.5,8202,NA,"2016"
"901",901,"Johns Hopkins University","R1","MD",NA,31954,65473,13500,13332,NA,"2016"
"902",902,"Illinois Institute of Technology","R2","IL",NA,21803,57277,27000,12396,NA,"2016"
"903",903,"Southern Illinois University-Carbondale","R2","IL",17660,NA,26868,21500,7652,NA,"2016"
"904",904,"University of Iowa","R1","IA",14192,NA,21010,21500,10160,NA,"2016"
"905",905,"Emory University","R1","GA",NA,25572,63058,19250,14486,NA,"2016"
"906",906,"Georgia Institute of Technology-Main Campus","R1","GA",11639,NA,25616,23750,12727,NA,"2016"
"907",907,"Boise State University","R2","ID",14205,NA,18298,22750,8091,NA,"2016"
"908",908,"University of Massachusetts-Boston","R2","MA",12805,NA,21884,22268,10730,NA,"2016"
"909",909,"Boston University","R1","MA",NA,34914,65809,25625,14136,NA,"2016"
"910",910,"Brandeis University","R1","MA",NA,31078,65954,27000,13176,NA,"2016"
"911",911,"Central Michigan University","R2","MI",15666,NA,22778,27000,9350,NA,"2016"
"912",912,"Eastern Michigan University","R2","MI",14165,NA,21828,25270,9744,NA,"2016"
"913",913,"Tufts University","R1","MA",NA,31298,65814,17500,12396,NA,"2016"
"914",914,"Northeastern University","R1","MA",NA,28565,62789,27000,13158,NA,"2016"
"915",915,"Auburn University","R1","AL",22881,NA,29794,21500,10428,NA,"2016"
"916",916,"Arkansas State University-Main Campus","R2","AR",12418,NA,20872,19500,6902,NA,"2016"
"917",917,"University of Arkansas at Little Rock","R2","AR",13357,NA,21392,19750,7623,NA,"2016"
"918",918,"University of California-Santa Barbara","R1","CA",14900,NA,34998,16300,15994,NA,"2016"
"919",919,"Colorado School of Mines","R2","CO",24877,NA,31226,25000,12065,NA,"2016"
"920",920,"Colorado State University-Fort Collins","R1","CO",18318,NA,24885,20502,10039,NA,"2016"
"921",921,"Arizona State University-Skysong","R2","AZ",13583,NA,21806,20000,8939,NA,"2016"
"922",922,"University of Tulsa","R2","OK",NA,23392,53667,26000,10564,NA,"2016"
"923",923,"Villanova University","R2","PA",NA,38229,62583,26692,11165,NA,"2016"
"924",924,"Texas A & M University-Corpus Christi","R2","TX",14867,NA,19481,22810,8252,NA,"2016"
"925",925,"University of Houston","R1","TX",15399,NA,23858,19250,11900,NA,"2016"
"926",926,"Rice University","R1","TX",NA,19232,58253,11200,15985,NA,"2016"
"927",927,"The University of Texas at Dallas","R1","TX",13343,NA,23211,18000,12652,NA,"2016"
"928",928,"The University of Texas at San Antonio","R2","TX",12981,NA,19488,21989.5,9062,NA,"2016"
"929",929,"University of Vermont","R2","VT",17831,NA,30573,22500,10205,NA,"2016"
"930",930,"University of Southern Mississippi","R1","MS",12867,NA,20497,25000,7711,NA,"2016"
"931",931,"University of Missouri-Kansas City","R2","MO",15764,NA,21575,21000,9041,NA,"2016"
"932",932,"Rowan University","R2","NJ",22224,NA,27553,19672,8693,NA,"2016"
"933",933,"Cornell University","R1","NY",NA,30498,65464,12742,15156,NA,"2016"
"934",934,"Yeshiva University","R2","NY",NA,36274,57355,20500,12178,NA,"2016"
"935",935,"Teachers College at Columbia University","R2","NY",NA,NA,NA,NA,14573,NA,"2016"
"936",936,"University at Buffalo","R1","NY",17163,NA,24006,19500,10636,NA,"2016"
"937",937,"University of North Carolina Wilmington","R2","NC",16793,NA,21642,20500,8442,NA,"2016"
"938",938,"University of North Carolina at Greensboro","R2","NC",11758,NA,18764,22546,8757,NA,"2016"
"939",939,"Miami University-Oxford","R2","OH",22307,NA,29413,23951.5,9534,NA,"2016"
"940",940,"Cleveland State University","R2","OH",16828,NA,22462,22000,9548,NA,"2016"
"941",941,"University of Toledo","R2","OH",16050,NA,23464,23037.5,8943,NA,"2016"
"942",942,"Ohio University-Main Campus","R2","OH",22058,NA,27183,20072,9082,NA,"2016"
"943",943,"Wright State University-Main Campus","R2","OH",15769,NA,21024,24282,9531,NA,"2016"
"944",944,"University of Oregon","R1","OR",15619,NA,24209,20500,10385,NA,"2016"
"945",945,"Portland State University","R2","OR",15762,NA,21532,21969,9650,NA,"2016"
"946",946,"Drexel University","R1","PA",NA,36050,67821,26000,11064,NA,"2016"
"947",947,"Pennsylvania State University-Main Campus","R1","PA",29806,NA,34777,26120,11139,NA,"2016"
"948",948,"Tennessee Technological University","R2","TN",14233,NA,23109,16532,8176,NA,"2016"
"949",949,"University of Wyoming","R2","WY",12578,NA,19169,18079,9846,NA,"2016"
"950",950,"University of Wisconsin-Madison","R1","WI",19320,NA,24594,22241,12350,NA,"2016"
"951",951,"University of Puerto Rico-Rio Piedras","R2","PR",2108,NA,7243,5500,7118,NA,"2016"
"952",952,"Ponce Health Sciences University","R2","PR",NA,NA,NA,NA,4149,NA,"2016"
"953",953,"Stanford University","R1","CA",NA,14155,64477,11446.5,20279,NA,"2016"
"954",954,"William & Mary","R2","VA",19089,NA,33630,19339.5,11141,NA,"2016"
"955",955,"University of Utah","R1","UT",12674,NA,18444,15000,10727,NA,"2016"
"956",956,"Virginia Polytechnic Institute and State University","R1","VA",19413,NA,24855,23250,11660,NA,"2016"
"957",957,"University of Rhode Island","R2","RI",19216,NA,27552,23000,9488,NA,"2016"
"958",958,"University of South Dakota","R2","SD",17078,NA,20806,25000,7895,NA,"2016"
"959",959,"University of Oklahoma-Norman Campus","R1","OK",17288,NA,25085,20000,9806,NA,"2016"
"960",960,"Carnegie Mellon University","R1","PA",NA,36613,65877,26462,12165,NA,"2016"
"961",961,"Duquesne University","R2","PA",NA,28628,48219,27000,9376,NA,"2016"
"962",962,"Lehigh University","R2","PA",NA,32501,60391,23575,13517,NA,"2016"
"963",963,"The University of Tennessee-Knoxville","R1","TN",19076,NA,29626,20500,11076,NA,"2016"
"964",964,"Rutgers University-Newark","R2","NJ",12360,NA,23299,22250,13647,NA,"2016"
"965",965,"New Mexico State University-Main Campus","R2","NM",9571,NA,17053,17000,8707,NA,"2016"
"966",966,"Columbia University in the City of New York","R1","NY",NA,22001,69021,21406,18763,NA,"2016"
"967",967,"Rochester Institute of Technology","R2","NY",NA,27348,50713,28000,10453,NA,"2016"
"968",968,"Rockefeller University","R2","NY",NA,NA,NA,NA,20057,NA,"2016"
"969",969,"Binghamton University","R1","NY",17870,NA,24093,19500,9779,NA,"2016"
"970",970,"Vanderbilt University","R1","TN",NA,17929,63532,14500,13877,NA,"2016"
"971",971,"Southern Methodist University","R2","TX",NA,32882,66889,20059,12829,NA,"2016"
"972",972,"The University of Texas at Arlington","R1","TX",13844,NA,22395,17750,9243,NA,"2016"
"973",973,"Texas State University","R2","TX",14725,NA,21122,20775.5,8000,NA,"2016"
"974",974,"University of North Texas","R1","TX",13759,NA,21003,20000,9978,NA,"2016"
"975",975,"George Mason University","R1","VA",19479,NA,24347,19500,10953,NA,"2016"
"976",976,"Washington State University","R1","WA",16278,NA,26441,20348.5,9888,NA,"2016"
"977",977,"Kansas State University","R1","KS",17023,NA,21989,22500,9106,NA,"2016"
"978",978,"University of Louisville","R1","KY",15968,NA,24768,19755,8724,NA,"2016"
"979",979,"University of Maine","R2","ME",15895,NA,22904,26000,9486,NA,"2016"
"980",980,"University of Maryland-College Park","R1","MD",16928,NA,24041,19500,13045,NA,"2016"
"981",981,"Morgan State University","R2","MD",16918,NA,23279,30726.5,8742,NA,"2016"
"982",982,"University of Massachusetts-Amherst","R1","MA",19324,NA,28000,23450.5,12254,NA,"2016"
"983",983,"Massachusetts Institute of Technology","R1","MA",NA,22549,63250,17125,18852,NA,"2016"
"984",984,"Ohio State University-Main Campus","R1","OH",17231,NA,25173,21500,12390,NA,"2016"
"985",985,"University of Pittsburgh-Pittsburgh Campus","R1","PA",28261,NA,32191,26899,10856,NA,"2016"
"986",986,"University of Colorado Colorado Springs","R2","CO",16029,NA,21038,21000,8322,NA,"2016"
"987",987,"University of Connecticut","R1","CT",21223,NA,29128,21500,11874,NA,"2016"
"988",988,"University of Central Florida","R1","FL",15409,NA,21168,18130,10506,NA,"2016"
"989",989,"Florida Agricultural and Mechanical University","R2","FL",13212,NA,20231,28002,8011,NA,"2016"
"990",990,"Florida Atlantic University","R2","FL",12605,NA,18992,16800,9178,NA,"2016"
"991",991,"University of Delaware","R1","DE",16736,NA,24557,24250,12904,NA,"2016"
"992",992,"American University","R2","DC",NA,35325,60501,23250,12045,NA,"2016"
"993",993,"The Catholic University of America","R2","DC",NA,34542,57561,26861,9748,NA,"2016"
"994",994,"Gallaudet University","R2","DC",NA,19384,35288,15000,10333,NA,"2016"
"995",995,"George Washington University","R1","DC",NA,35282,65218,25000,14659,NA,"2016"
"996",996,"Montclair State University","R2","NJ",21727,NA,24885,23000,10177,NA,"2016"
"997",997,"Rutgers University-New Brunswick","R1","NJ",20166,NA,29388,22250,11843,NA,"2016"
"998",998,"CUNY Graduate School and University Center","R1","NY",NA,NA,NA,8000,15498,NA,"2016"
"999",999,"Temple University","R1","PA",21335,NA,30166,25500,11070,NA,"2016"
"1000",1000,"Thomas Jefferson University","R2","PA",NA,NA,NA,12500,8243,NA,"2016"
"1001",1001,"Brown University","R1","RI",NA,28629,65380,16125,15579,NA,"2016"
"1002",1002,"University of South Carolina-Columbia","R1","SC",19095,NA,26362,23000,10744,NA,"2016"
"1003",1003,"South Dakota State University","R2","SD",21070,NA,25761,25000,8255,NA,"2016"
"1004",1004,"University of Missouri-Columbia","R1","MO",17157,NA,23962,22000,9636,NA,"2016"
"1005",1005,"Saint Louis University","R2","MO",NA,29157,54698,25750,10385,NA,"2016"
"1006",1006,"University of Missouri-St Louis","R2","MO",11006,NA,22105,20460,8675,NA,"2016"
"1007",1007,"The University of Montana","R2","MT",13978,NA,17883,22977,7817,NA,"2016"
"1008",1008,"Dartmouth College","R1","NH",NA,27080,67044,14819,15278,NA,"2016"
"1009",1009,"North Carolina State University at Raleigh","R1","NC",14682,NA,22226,20714,10964,NA,"2016"
"1010",1010,"Duke University","R1","NC",NA,33665,67005,9200,16170,NA,"2016"
"1011",1011,"Kennesaw State University","R2","GA",17832,NA,23759,20375,7167,NA,"2016"
"1012",1012,"Howard University","R2","DC",NA,24156,43116,26000,9521,NA,"2016"
"1013",1013,"Georgetown University","R1","DC",NA,29283,66971,15494.5,15382,NA,"2016"
"1014",1014,"University of Miami","R1","FL",NA,30136,59833,19000,12367,NA,"2016"
"1015",1015,"Idaho State University","R2","ID",16481,NA,19526,22674,7391,NA,"2016"
"1016",1016,"DePaul University","R2","IL",NA,29752,50997,23256.5,10916,NA,"2016"
"1017",1017,"University of Chicago","R1","IL",NA,19510,70100,15900,18469,NA,"2016"
"1018",1018,"University of Illinois at Chicago","R1","IL",13562,NA,25131,18114.5,11151,NA,"2016"
"1019",1019,"Ball State University","R2","IN",15521,NA,23157,24513.5,7514,NA,"2016"
"1020",1020,"Georgia State University","R1","GA",14773,NA,24223,22206.5,8780,NA,"2016"
"1021",1021,"University of Georgia","R1","GA",13822,NA,24991,18750,11177,NA,"2016"
"1022",1022,"Northern Illinois University","R2","IL",19944,NA,28725,23208,8301,NA,"2016"
"1023",1023,"Illinois State University","R2","IL",20969,NA,27421,21250,8268,NA,"2016"
"1024",1024,"University of Notre Dame","R1","IN",NA,29313,64775,21434,14355,NA,"2016"
"1025",1025,"Iowa State University","R1","IA",13947,NA,19182,23256,11173,NA,"2016"
"1026",1026,"University of California-San Diego","R1","CA",14775,NA,31043,17500,16373,NA,"2016"
"1027",1027,"San Diego State University","R2","CA",14585,NA,22056,15000,10903,NA,"2016"
"1028",1028,"University of San Diego","R2","CA",NA,33821,61004,24000,12284,NA,"2016"
"1029",1029,"University of Denver","R2","CO",NA,29453,59656,23804,10796,NA,"2016"
"1030",1030,"University of Florida","R1","FL",12159,NA,20571,16195.5,11608,NA,"2016"
"1031",1031,"Loyola University Chicago","R2","IL",NA,33764,54324,25000,10639,NA,"2016"
"1032",1032,"University of New Orleans","R2","LA",10191,NA,18164,16500,7979,NA,"2016"
"1033",1033,"University of Minnesota-Twin Cities","R1","MN",16993,NA,25370,20000,11927,NA,"2016"
"1034",1034,"Western Michigan University","R2","MI",16824,NA,23598,26364,9972,NA,"2016"
"1035",1035,"University of Massachusetts-Lowell","R2","MA",19095,NA,26318,24604.5,11606,NA,"2016"
"1036",1036,"University of Michigan-Ann Arbor","R1","MI",14897,NA,27725,19153,11622,NA,"2016"
"1037",1037,"Michigan State University","R1","MI",17120,NA,25809,25200,11802,NA,"2016"
"1038",1038,"Jackson State University","R2","MS",13646,NA,21670,28000,7260,NA,"2016"
"1039",1039,"Mississippi State University","R1","MS",15656,NA,22818,23000,8789,NA,"2016"
"1040",1040,"University of Nevada-Reno","R1","NV",14164,NA,20702,18280,10193,NA,"2016"
"1041",1041,"University of Rochester","R1","NY",NA,26604,65364,23276,12762,NA,"2016"
"1042",1042,"New York University","R1","NY",NA,37362,67637,22900,14056,NA,"2016"
"1043",1043,"Syracuse University","R1","NY",NA,30722,61070,27000,11808,NA,"2016"
"1044",1044,"SUNY at Albany","R1","NY",16888,NA,23777,20500,9678,NA,"2016"
"1045",1045,"SUNY College of Environmental Science and Forestry","R2","NY",17804,NA,24430,19200,8738,NA,"2016"
"1046",1046,"University of North Carolina at Chapel Hill","R1","NC",13210,NA,24327,16661,12841,NA,"2016"
"1047",1047,"University of North Carolina at Charlotte","R2","NC",14665,NA,19723,22500,9622,NA,"2016"
"1048",1048,"Arizona State University-Downtown Phoenix","R2","AZ",11581,NA,24109,20000,9177,NA,"2016"
"1049",1049,"University of Akron Main Campus","R2","OH",17424,NA,23039,25000,9837,NA,"2016"
"1050",1050,"University of North Dakota","R2","ND",15045,NA,19290,24489,8377,NA,"2016"
"1051",1051,"Texas A & M University-College Station","R1","TX",15440,NA,24682,18519.5,11879,NA,"2016"
"1052",1052,"The University of Texas at El Paso","R1","TX",7058,NA,15306,17075,9055,NA,"2016"
"1053",1053,"Texas Southern University","R2","TX",18953,NA,22909,29323.5,7598,NA,"2016"
"1054",1054,"Virginia Commonwealth University","R1","VA",21405,NA,29278,23250,9306,NA,"2016"
"1055",1055,"University of Virginia-Main Campus","R1","VA",19177,NA,29572,19000,14278,NA,"2016"
"1056",1056,"University of Wisconsin-Milwaukee","R1","WI",17940,NA,21771,24348,8540,NA,"2016"
"1057",1057,"Purdue University-Main Campus","R1","IN",13545,NA,22698,20428,12418,NA,"2016"
"1058",1058,"University of Arizona","R1","AZ",16150,NA,24633,19000,11147,NA,"2016"
"1059",1059,"Northern Arizona University","R2","AZ",14664,NA,25174,19500,8207,NA,"2016"
"1060",1060,"University of California-Irvine","R1","CA",13712,NA,31198,16500,15447,NA,"2016"
"1061",1061,"Loyola Marymount University","R2","CA",NA,38244,60371,22000,11733,NA,"2016"
"1062",1062,"University of Dayton","R2","OH",NA,28866,53530,26100,8877,NA,"2016"
"1063",1063,"University of Alabama in Huntsville","R2","AL",19423,NA,22059,22647,9442,NA,"2016"
"1064",1064,"University of Alabama at Birmingham","R1","AL",16475,NA,22684,21833,10717,NA,"2016"
"1065",1065,"Indiana University-Purdue University-Indianapolis","R2","IN",12861,NA,20257,23000,8512,NA,"2015"
"1066",1066,"University of Kansas","R1","KS",18755,NA,23733,20454,10156,NA,"2015"
"1067",1067,"Boston College","R1","MA",NA,33661,62968,19000,15323,NA,"2015"
"1068",1068,"Oakland University","R2","MI",11929,NA,19475,25000,9452,NA,"2015"
"1069",1069,"University of Mississippi","R1","MS",14284,NA,22704,19500,9217,NA,"2015"
"1070",1070,"Missouri University of Science and Technology","R2","MO",14096,NA,21793,24265.5,10628,NA,"2015"
"1071",1071,"Washington University in St Louis","R1","MO",NA,32873,65887,19500,14960,NA,"2015"
"1072",1072,"Montana State University","R1","MT",16809,NA,18961,23683,8875,NA,"2015"
"1073",1073,"University of Nebraska at Omaha","R2","NE",12505,NA,17148,19032,8377,NA,"2015"
"1074",1074,"University of Nevada-Las Vegas","R1","NV",10915,NA,16791,18750,10778,NA,"2015"
"1075",1075,"University of Colorado Boulder","R1","CO",21806,NA,30025,19154,11684,NA,"2015"
"1076",1076,"University of Southern California","R1","CA",NA,29174,64536,22250,14712,NA,"2015"
"1077",1077,"Yale University","R1","CT",NA,20910,63970,13500,19093,NA,"2015"
"1078",1078,"Delaware State University","R2","DE",16099,NA,21182,28500,8272,NA,"2015"
"1079",1079,"Florida International University","R1","FL",12427,NA,18727,16750,10514,NA,"2015"
"1080",1080,"Florida State University","R1","FL",15664,NA,21463,20500,11108,NA,"2015"
"1081",1081,"University of South Florida-Main Campus","R1","FL",11232,NA,19578,18875,10168,NA,"2015"
"1082",1082,"University of Hawaii at Manoa","R1","HI",13441,NA,21177,18750,12163,NA,"2015"
"1083",1083,"Mercer University","R2","GA",NA,20423,48016,25000,8639,NA,"2015"
"1084",1084,"Georgia Southern University","R2","GA",16963,NA,22424,23000,6684,NA,"2015"
"1085",1085,"Oregon State University","R1","OR",19020,NA,24418,23300,9910,NA,"2015"
"1086",1086,"University of Memphis","R2","TN",13353,NA,22160,25000,8934,NA,"2015"
"1087",1087,"Baylor University","R2","TX",NA,32657,53892,25000,9968,NA,"2015"
"1088",1088,"Texas A & M University-Kingsville","R2","TX",12602,NA,20969,19297,7914,NA,"2015"
"1089",1089,"The University of Texas at Austin","R1","TX",17742,NA,26119,22182.5,12940,NA,"2015"
"1090",1090,"Texas Tech University","R1","TX",16804,NA,21869,22400,9228,NA,"2015"
"1091",1091,"California Institute of Technology","R1","CA",NA,24760,60990,14350,19993,NA,"2015"
"1092",1092,"University of California-Santa Cruz","R1","CA",17205,NA,34125,19950,14426,NA,"2015"
"1093",1093,"Florida Institute of Technology","R2","FL",NA,28474,53942,27000,9694,NA,"2015"
"1094",1094,"Clark Atlanta University","R2","GA",NA,32947,37061,31000,7467,NA,"2015"
"1095",1095,"Northwestern University","R1","IL",NA,28155,65436,18000,17189,NA,"2015"
"1096",1096,"University of Illinois at Urbana-Champaign","R1","IL",18143,NA,29568,20500,12525,NA,"2015"
"1097",1097,"Indiana University-Bloomington","R1","IN",15349,NA,24326,22482.5,10467,NA,"2015"
"1098",1098,"Louisiana State University and Agricultural & Mechanical College","R1","LA",11355,NA,22798,20682,10192,NA,"2015"
"1099",1099,"Louisiana Tech University","R2","LA",9233,NA,18031,19500,7893,NA,"2015"
"1100",1100,"Hampton University","R2","VA",NA,28272,35290,27000,7186,NA,"2015"
"1101",1101,"University of Washington-Seattle Campus","R1","WA",12947,NA,25240,15000,13086,NA,"2015"
"1102",1102,"Marshall University","R2","WV",9508,NA,17503,22264.5,7651,NA,"2015"
"1103",1103,"West Virginia University","R1","WV",11206,NA,18460,23799,10123,NA,"2015"
"1104",1104,"The University of Alabama","R1","AL",20575,NA,27205,23575,10225,NA,"2015"
"1105",1105,"University of Alaska Fairbanks","R2","AK",9942,NA,16025,15750,9584,NA,"2015"
"1106",1106,"University of South Alabama","R2","AL",15204,NA,19654,24125,7239,NA,"2015"
"1107",1107,"University of Arkansas","R1","AR",14546,NA,21288,21500,9866,NA,"2015"
"1108",1108,"University of California-Riverside","R1","CA",11760,NA,30946,19000,13408,NA,"2015"
"1109",1109,"Claremont Graduate University","R2","CA",NA,NA,NA,NA,13883,NA,"2015"
"1110",1110,"University of California-Davis","R1","CA",15047,NA,33265,14334,14603,NA,"2015"
"1111",1111,"Clemson University","R1","SC",15885,NA,26373,21500,10218,NA,"2015"
"1112",1112,"East Tennessee State University","R2","TN",15245,NA,22115,20250,7304,NA,"2015"
"1113",1113,"Tennessee State University","R2","TN",10493,NA,18181,27000,7364,NA,"2015"
"1114",1114,"Texas Christian University","R2","TX",NA,32005,53532,21444,11766,NA,"2015"
"1115",1115,"The University of Texas Rio Grande Valley","R2","TX",4250,NA,12151,10312.5,6192,NA,"2015"
"1116",1116,"Brigham Young University-Provo","R2","UT",NA,12597,17504,11000,10974,NA,"2015"
"1117",1117,"Marquette University","R2","WI",NA,31093,49868,27000,9938,NA,"2015"
"1118",1118,"University of New England","R2","ME",NA,31266,50090,27000,8888,NA,"2015"
"1119",1119,"Clark University","R2","MA",NA,24040,49958,27000,10859,NA,"2015"
"1120",1120,"Harvard University","R1","MA",NA,17882,62250,6413,20484,NA,"2015"
"1121",1121,"Worcester Polytechnic Institute","R2","MA",NA,37002,59110,27000,12477,NA,"2015"
"1122",1122,"University of Massachusetts-Dartmouth","R2","MA",16517,NA,24539,25586.5,10873,NA,"2015"
"1123",1123,"The New School","R2","NY",NA,34945,60109,23750,11585,NA,"2015"
"1124",1124,"Stony Brook University","R1","NY",13717,NA,22000,19000,12058,NA,"2015"
"1125",1125,"Wake Forest University","R2","NC",NA,30831,62502,23000,11666,NA,"2015"
"1126",1126,"University of Cincinnati-Main Campus","R1","OH",22180,NA,26370,22941.5,9936,NA,"2015"
"1127",1127,"University of California-Merced","R2","CA",12999,NA,32361,19811,11225,NA,"2015"
"1128",1128,"Clarkson University","R2","NY",NA,29243,59672,27000,10833,NA,"2015"
"1129",1129,"CUNY City College","R2","NY",6002,NA,15472,11200,12469,NA,"2015"
"1130",1130,"Fordham University","R2","NY",NA,34042,60867,26000,13782,NA,"2015"
"1131",1131,"Rensselaer Polytechnic Institute","R1","NY",NA,34841,64198,27500,12554,NA,"2015"
"1132",1132,"East Carolina University","R2","NC",15450,NA,21040,24644.5,8629,NA,"2015"
"1133",1133,"Case Western Reserve University","R1","OH",NA,27949,59467,24000,11878,NA,"2015"
"1134",1134,"North Dakota State University-Main Campus","R2","ND",15139,NA,19198,23250,9107,NA,"2015"
"1135",1135,"Wayne State University","R1","MI",13258,NA,21588,22000,10622,NA,"2015"
"1136",1136,"University of Nebraska-Lincoln","R1","NE",16705,NA,21758,21533,10936,NA,"2015"
"1137",1137,"University of New Hampshire-Main Campus","R1","NH",24013,NA,30246,27000,11893,NA,"2015"
"1138",1138,"Arizona State University-Tempe","R1","AZ",11337,NA,23440,20086,11451,NA,"2015"
"1139",1139,"Princeton University","R1","NJ",NA,8848,59665,7500,20185,NA,"2015"
"1140",1140,"Rutgers University-Camden","R2","NJ",14094,NA,24306,22000,11354,NA,"2015"
"1141",1141,"Seton Hall University","R2","NJ",NA,27199,49945,25000,9807,NA,"2015"
"1142",1142,"Stevens Institute of Technology","R2","NJ",NA,32869,62385,28250,13258,NA,"2015"
"1143",1143,"Oklahoma State University-Main Campus","R1","OK",13894,NA,21494,20500,9060,NA,"2015"
"1144",1144,"University of Pennsylvania","R1","PA",NA,25225,64200,13000,17887,NA,"2015"
"1145",1145,"Utah State University","R2","UT",11559,NA,16702,13000,9214,NA,"2015"
"1146",1146,"Old Dominion University","R2","VA",15935,NA,21942,23250,8428,NA,"2015"
"1147",1147,"North Carolina A & T State University","R2","NC",9517,NA,16566,29000,8722,NA,"2015"
"1148",1148,"Air Force Institute of Technology-Graduate School of Engineering & Management","R2","OH",NA,NA,NA,NA,NA,NA,"2015"
"1149",1149,"Bowling Green State University-Main Campus","R2","OH",18437,NA,23723,26000,9101,NA,"2015"
"1150",1150,"Kent State University at Kent","R2","OH",18978,NA,24602,25625,9143,NA,"2015"
"1151",1151,"Azusa Pacific University","R2","CA",NA,27183,46441,22500,9160,NA,"2015"
"1152",1152,"Chapman University","R2","CA",NA,36367,61231,20750,11826,NA,"2015"
"1153",1153,"University of California-Berkeley","R1","CA",13197,NA,33989,13425,17125,NA,"2015"
"1154",1154,"University of California-Los Angeles","R1","CA",13454,NA,32594,15000,18392,NA,"2015"
"1155",1155,"University of Colorado Denver/Anschutz Medical Campus","R1","CO",14519,NA,19389,20250,10640,NA,"2015"
"1156",1156,"University of Kentucky","R1","KY",16298,NA,24738,22500,10688,NA,"2015"
"1157",1157,"Michigan Technological University","R2","MI",15237,NA,26306,26750,10344,NA,"2015"
"1158",1158,"New Jersey Institute of Technology","R1","NJ",17486,NA,28150,22750,12544,NA,"2015"
"1159",1159,"University of New Mexico-Main Campus","R1","NM",9027,NA,17000,19117,9057,NA,"2015"
"1160",1160,"Nova Southeastern University","R2","FL",NA,23765,41965,25000,10230,NA,"2015"
"1161",1161,"University of Idaho","R2","ID",13709,NA,19418,24075,9346,NA,"2015"
"1162",1162,"Wichita State University","R2","KS",14945,NA,17119,20000,7873,NA,"2015"
"1163",1163,"Tulane University of Louisiana","R1","LA",NA,32475,62856,27292,11783,NA,"2015"
"1164",1164,"University of Louisiana at Lafayette","R2","LA",9459,NA,17007,19275,8337,NA,"2015"
"1165",1165,"University of Maryland-Baltimore County","R2","MD",18827,NA,22873,20500,9869,NA,"2015"
"1166",1166,"University of Maryland Eastern Shore","R2","MD",15453,NA,22081,27000,8202,NA,"2015"
"1167",1167,"Johns Hopkins University","R1","MD",NA,34455,63509,14844,13332,NA,"2015"
"1168",1168,"Illinois Institute of Technology","R2","IL",NA,18854,53585,27000,12396,NA,"2015"
"1169",1169,"Southern Illinois University-Carbondale","R2","IL",16048,NA,25692,22308,7652,NA,"2015"
"1170",1170,"University of Iowa","R1","IA",14085,NA,20861,21500,10160,NA,"2015"
"1171",1171,"Emory University","R1","GA",NA,25941,61344,17000,14486,NA,"2015"
"1172",1172,"Georgia Institute of Technology-Main Campus","R1","GA",11574,NA,24629,23750,12727,NA,"2015"
"1173",1173,"Boise State University","R2","ID",13718,NA,17670,22371,8091,NA,"2015"
"1174",1174,"University of Massachusetts-Boston","R2","MA",11789,NA,20496,22000,10730,NA,"2015"
"1175",1175,"Boston University","R1","MA",NA,34910,63588,25500,14136,NA,"2015"
"1176",1176,"Brandeis University","R1","MA",NA,28370,63222,27000,13176,NA,"2015"
"1177",1177,"Central Michigan University","R2","MI",14509,NA,22357,27000,9350,NA,"2015"
"1178",1178,"Eastern Michigan University","R2","MI",12675,NA,19570,25420,9744,NA,"2015"
"1179",1179,"Tufts University","R1","MA",NA,29565,63358,18000,12396,NA,"2015"
"1180",1180,"Northeastern University","R1","MA",NA,28869,60179,27750,13158,NA,"2015"
"1181",1181,"Auburn University","R1","AL",22183,NA,29164,21500,10428,NA,"2015"
"1182",1182,"Arkansas State University-Main Campus","R2","AR",12152,NA,20349,18870,6902,NA,"2015"
"1183",1183,"University of Arkansas at Little Rock","R2","AR",12218,NA,20714,19750,7623,NA,"2015"
"1184",1184,"University of California-Santa Barbara","R1","CA",14748,NA,34493,16171,15994,NA,"2015"
"1185",1185,"Colorado School of Mines","R2","CO",24929,NA,30990,26000,12065,NA,"2015"
"1186",1186,"Colorado State University-Fort Collins","R1","CO",16777,NA,23137,21000,10039,NA,"2015"
"1187",1187,"Arizona State University-Skysong","R2","AZ",13990,NA,21255,20086,8939,NA,"2015"
"1188",1188,"University of Tulsa","R2","OK",NA,25355,50116,26984,10564,NA,"2015"
"1189",1189,"Villanova University","R2","PA",NA,36563,60556,26437,11165,NA,"2015"
"1190",1190,"Texas A & M University-Corpus Christi","R2","TX",14361,NA,18941,22875,8252,NA,"2015"
"1191",1191,"University of Houston","R1","TX",14134,NA,23267,19660,11900,NA,"2015"
"1192",1192,"Rice University","R1","TX",NA,21024,56316,10250,15985,NA,"2015"
"1193",1193,"The University of Texas at Dallas","R1","TX",12940,NA,23133,18548,12652,NA,"2015"
"1194",1194,"The University of Texas at San Antonio","R2","TX",11843,NA,18962,22833,9062,NA,"2015"
"1195",1195,"University of Vermont","R2","VT",17414,NA,29332,22250,10205,NA,"2015"
"1196",1196,"University of Southern Mississippi","R1","MS",12175,NA,20275,25000,7711,NA,"2015"
"1197",1197,"University of Missouri-Kansas City","R2","MO",14418,NA,20927,21000,9041,NA,"2015"
"1198",1198,"Rowan University","R2","NJ",22383,NA,27078,20000,8693,NA,"2015"
"1199",1199,"Cornell University","R1","NY",NA,29711,63596,12000,15156,NA,"2015"
